reviewer_name,review_date,review_star_text,review_star_count,review_helpful_count,review
Trupti Satish Kadni,"September 19, 2020",Rated 1 stars out of five stars,1,171,"Worst experience ever! I am advised to reinstall the app and the minute I do that, apparently my phone number is not valid and I don't get further OTPs. This is such a hassle. Everywhere the app doesn't work, I have to write an endless declaration. I declare that your app is the culprit here! Fix the issues please."
Ratnakumar Vattiprolu,"October 7, 2020",Rated 1 stars out of five stars,1,436,"Totally useless app, no consistency in database showing in this. I had Covid and discharged from hospital, after one month of discharging from hospital now it is showing I am a Covid patient. There is no provision given to self update. Help line also not useful for such problems. No provision given to contact right person to correct the errors."
Donny Peter,"December 11, 2020",Rated 1 stars out of five stars,1,0,"I had to install it on the insistence by airport security. I uninstalled it at the earliest I could. Recently even judges are asking convicts on bail to install this app. I don't buy the justification from the app developers that the app needs to be used for the good of my family. Let me freely choose, if you still agree to the concept of free will of a law abiding citizen. Don't use your CISF muscle power to get me install it and use it."
Vikash Kumar Gupta,"October 11, 2020",Rated 3 stars out of five stars,3,404,"Just rating high for creating this app. However there are many points which needs to be taken care within the app. 1. Opening Loading time is too high. Ideally it should be done within 3s but it takes minutes in a 200MBPs connection. 2. It is not showing the distance wise stats as observed on today - 11.10.20 3. The native back button does back the screen, it exits the app. Atleast it should warn and say double back for exit if user is already in home page. 4. Data upload takes more time in mins"
Dhupkar Milind,"November 23, 2020",Rated 5 stars out of five stars,5,12,"Great app. Gives health status of contacts and if anyone was risky. Good for tracking progress of disease statewise. Issue -- on my Samsung Android phone, colors of daily graph are not visible. Also you can also give statistics for metro cities."
Ravi Kumar Reddy Bandi,"October 30, 2020",Rated 1 stars out of five stars,1,167,"Not at all usefull, it isn't a dynamic app which let the user know if he/she is close vicinity of a Covid positive patient, one has to manually update each and every time, even then it doesn't show the true info. I somehow have to believe now that it's just a gimmick or publicity stunt or mere show-off kind of thing that the govt is doing great in tracing the infected people which is a big false"
Makarand Joshi,"November 24, 2020",Rated 3 stars out of five stars,3,0,"Unable to login - with the recent software update on my phone, the app which was already in use by me for more than 6 months, is now not responding. I reinstalled the app and despite giving it all the necessary permissions, it's not logging me in. Please resolve as I need to undertake domestic travel shortly."
Rina Das,"November 13, 2020",Rated 2 stars out of five stars,2,114,"Suddenly today it showed that the update of this app has been updated in my mobile, but on checking the update I found I had to register again. But when I gave my mobile number, then it said otp was sent but no opt was sent. So, I tried again. But then when I gave my mobile number again, it displayed -- ''There is some error logging you in."" Now please tell me what to do."
Yogesh Marwaha,"September 22, 2020",Rated 4 stars out of five stars,4,139,"First of all the concept of the application is great, but even though the Application was able to identify when my father had contact with a covid positive person (why that person was roaming around, is a mystery), but it either didn't notify or didn't notify with much stress, since by the time we checked the application, it was too late."
AVINASH KUMAR,"December 5, 2020",Rated 3 stars out of five stars,3,1,"Useless app, By this app. We can't get more alertness as we were suggested that if a positive comes near with me then it will start to ring or vibrate or anything. Only we can get data about patients."
Tanishq Agarwal,"November 15, 2020",Rated 3 stars out of five stars,3,451,"The app is nice but requires some updates.It uses bluetooth to determine your location but this is not successful.It should use GPS for the same.If you are going to your office, then it uses your office's location and doesn't change it after you have left the place.A COVID positive patient is just living adjacent to my house, still it shows ""YOU ARE SAFE"".If you want India to be free from Corona, then please fix these issues."
Srishyla. D Vedantha,"November 26, 2020",Rated 1 stars out of five stars,1,96,Here is the proof that this app does not work: I stay about 500 metres from a hospital where covid patients are being treated. The shows that there is one (1) person infected with covid19 within 1KM when the hospital has substantial number of patients being treated. Apps such as this will not work with runaway cases. Edit1: It appears that the reviews receive stock responses by the developer. Pathetic.
Umang Kagathara,"October 6, 2020",Rated 5 stars out of five stars,5,645,"There is some error logging you in. How would I know what error. If you want to fight covid in such a populous country, the application must be bug free. Else you will loose data as a part of population will not install the app. I was able to login before but a few days back it started to show me 403 forbidden, I cleared the data, even reinstalled the app but now it is not bale to log me in."
Aloke Ekka,"September 24, 2020",Rated 1 stars out of five stars,1,188,"The app only tells about the basic information that is available on the internet elsewhere. There is no real-time monitoring and accuracy is far beyond. Further, I suspect the app is basically data collection malware. Not saying the app isn't secure but saying the app itself might be malicious. As after installing and entering my mobile number for registration I started getting multiple spam calls for donations, loans, credit cards, etc. which were very rare (2-3 a month and now 4-5 per day). So, I suppose the app itself is selling user data. But since the app is mandatory for commuting I have it installed. Otherwise I would strictly advise to stay away from it and if installed force stop it from running in background. Don't know what all data it might be collecting and selling."
Varun N,"September 26, 2020",Rated 1 stars out of five stars,1,121,"Not able to log in - ""some error while logging in"", don't know what to do differently. Have tried clearing cache and uninstall-reinstall multiple times in past 24 hours. Contacted support team but didnt get a response beyond the ususal clear cache. Terrible Edit: I have been sending the emails and feedback a few times innpast 24 hours now, can you please review and respond ?"
Nabajyoti Kalita,"December 3, 2020",Rated 1 stars out of five stars,1,43,"Useless app.... Just for showcase purpose.... 3 weeks back when I was suffering from COVID-19, this app was showing me ""Safe"" even if aadhaar card details were taken during testing. When I have myself updated my status as Covid-19 positive, then also it was showing me as ""Safe"". Now after recovering from Covid-19, then also it is showing ""Safe"". It means in all cases you are ''Safe"". Great joke."
Anirban Roy,"November 19, 2020",Rated 1 stars out of five stars,1,4,"Facts and figures are itself not correct, if so, after tested negetive, status should have automatically changed to green. Last comment: The app shows Incorrect status, even after tested negative, it shows covid positive.. after sharing required details through email to support team, it got corrected. Process should be automated i.e. if it turns red automatically once tested positive, should be green once tested negetive without any manual intervention of user through mail exchanges."
Radhakrishnan Pariyarath,"September 28, 2020",Rated 1 stars out of five stars,1,398,"Though it's a good initiative. I haven't found it very useful. Iam in a building where a COVID19 patient expired and two of the relatives are found positive and are shifted to hospital. The app uses the GPS but doesn't give any alert at all. I can't understand the usefulness of it at all.. The app also drains the mobile battery as it uses Bluetooth and GPS.. 28/9/20: My 2nd review after I turned positive, Showed + only after I send a mail. Now the App shows you are safe without me getting tested"
Siraj Mansuri,"December 1, 2020",Rated 1 stars out of five stars,1,7,"I don't know how this app is saving us where you can only see the numbers of positive or negative. But there isn't any another option that any covid positive is near you withing 5 to 10 mtr and it is not notifying us that ""stay alert a person near you is covid positive."""
Sanjay Dubey,"December 1, 2020",Rated 1 stars out of five stars,1,4,Now this app became worst because after updating this app and when I opened it ask me information. After filling up all information I clicked on submit option and then it stucks... Nothing is coming after clicking on submitting option. Please fix this problem otherwise the app will be uninstalled. Thank you!
sasi kala,"October 17, 2020",Rated 3 stars out of five stars,3,198,"Im afraid this app is not passing on right message in one case noticed. Though a person is international traveller and don't have any covid symptoms still, it displays a message that person is considered as 'Unwell' or 'Risk' and asking for confirmation by the person. I would suggest that, app shows the person is under quarantine instead of saying 'Risk' or 'Unwell'. Thank you for considering the feedback."
Aqua`,"September 20, 2020",Rated 5 stars out of five stars,5,234,"Excellent app. Doesn't ask for any unnecessary permissions, so I don't think my privacy is comprised, like the rumours have it. However the app itself is not that useful because hardly anyone has installed it around me. Still, atleast some have and that's the only reason I use it. Please keep up the good work and update other apps and websites too."
Abhijit Biswas,"November 22, 2020",Rated 1 stars out of five stars,1,1,"This app is absolutely rubbish. I was in a covid hospital with infection and yet i was safe. I walk 15 mins to my office with no people around and I'm moderate to high rate of infection! Absolutely pointless and then it says i met someone infected 10+ days ago, it's amazing!"
ajay chintu,"December 9, 2020",Rated 1 stars out of five stars,1,12,"This is the worst app,I know some covid patients nearby leaving few meters away but this app does not show any covid patients nearby and saying that there were no covid patients till 1 km,this app does not contain all the data and don't believe that this app works perfectly on covid 19,people need to know information through other people contactless only, don't think that people are safe whatever this app says and don't keep yourself at risk as this app doesn't contain all the data about covid"
Ankit Prasad,"September 25, 2020",Rated 2 stars out of five stars,2,24,"The initial idea for contact tracing may have been good, but the implementation of the app is a huge failure. It does not provide real time tracing capabilities and instead just causes panic. Also, forcing it down everyone's throat by making it mandatory in many places is a huge turn-off."
ashwini sankhala,"September 30, 2020",Rated 1 stars out of five stars,1,4,"I have an idea for a feature that you can add this app. As recently we see that a 19 year old girl is raped and no action is taken against that. So , you can add an alert button to your app that a girl can use when she feel unsafe , when the girl click that button an alert message will be send to the other user of this app which are in range of 1 km that "" this user is unsafe & also the Live location of that girl"".... please think on this ....we want rape free India🇮🇳 Please reply me back 🙏"
Bhadresh Modi,"November 25, 2020",Rated 2 stars out of five stars,2,2,Application is the best but when user himself is covid-19 positive how it can be entered? There should be some arrangements. Also I got admission in hospital so all my nearby patients should come under survilence of the application as my Bluetooth is always on. So lots of improvement is required to make it world class.
Arkaprovo Chakrabarty,"November 8, 2020",Rated 1 stars out of five stars,1,98,"Not worth it. Basically it is suppose to trace all Covid contacts, cases history automatically by connecting all hospital, test centres and voluntary disclosure. Mobile numbers should be directly fed into app. However it doesn't. One of my close relative got infected, hospitalized, discharged, stays next door does not show up. Other multiple cases around next door upper floors, but it shows I am safe. It does not show correctly when I faced practical situation. Not helpful, worthless function."
MUHAMMED IRSHAD P.T,"November 8, 2020",Rated 1 stars out of five stars,1,301,"The app shows covid positive after getting the test results as negative for last 14 days. What a useless app. Deleting the account does nothing, I thought it will ask questions again if the latest results are positive or negative, but that's not the case. Why make use of technology if this also will be slow as any other government work"
kedarvk,"September 26, 2020",Rated 4 stars out of five stars,4,108,"One place to get all the data. But, the data is updated very late. Also, the color of daily recovered and deaths is not good. Both the background and the bars color is same. Not sure why such basic thing has not been rectified for so many days. The color combination is good for confirmed and active cases."
Ravinder Reddy,"September 28, 2020",Rated 1 stars out of five stars,1,9,Not at all helpful. it doesn't even show people who are suffering with covid. its just prime minister mandatory to download the arogya setu app. while traveling in train or plane at railway station or airport the app doesn't track any people suffering with covid. the app only drains the mobile battery when access is given to location and blue tooth usage to track covid positive people. its a useless app arogya setu.
SACHIN Deshmukh,"November 27, 2020",Rated 2 stars out of five stars,2,37,"This app shows incorrect number on contacted people in proximity and 100% of their status shows as unknown for 30days, so what's the use??? And how I'm I protected from risk out side??? Patients mobile number data must be linked to this app at the time of hospitalisation/testing only and kept as alert for next 21 days, then this may be little useful, else real cause of designing this app cannt be achieved. Think it wisely"
gourav singh Rajawat,"November 23, 2020",Rated 1 stars out of five stars,1,2,"Worst app, I am not able to login, it's continuosly shows ""There is some error in logging in you"", and there is no helpdesk for solving any issues. mailed to given mail , still not able to login."
Rahul das,"September 22, 2020",Rated 1 stars out of five stars,1,150,"I have downloaded it 10 or 15 times.. after downloading, i enter the required data, but it doesn't show me the status page.. it just get stucked in that data page only..and i have no problem, no root in my device..if it has any bugs..please fix it!!! I have done everything..in terms of clearing data and cache..nothing is working"
Rajeshwar Shende,"September 22, 2020",Rated 1 stars out of five stars,1,6,"Very bad experience. When there is any error you please show why it failed? If this app is so important for government then the support and mitigation of issues should also be the responsibility. When user is stuck at some point, it's a dead lock and user is left with no options. Very disgusting app."
akhil birdi,"November 30, 2020",Rated 1 stars out of five stars,1,5,Full of bugs and issues. Despite the fact that I am not infected still shows infected. If you are in a radius of other infected person of 1km and still shows infected then I think it needs to be worked again. Don't use illogical fundas here
Linda Rodrigues,"December 16, 2020",Rated 1 stars out of five stars,1,0,"Very bad, when I fill in my mobile number, its says ""error occured"" cannot log in. Tried so many many times but the same message comes up. And I'm travelling tomorrow HELP!!!!!"
Payal Shukla,"November 3, 2020",Rated 1 stars out of five stars,1,110,"Worst app... The contact tracing on the app is very poor. When a person one floor above my apartment was diagnosed covid positive and was under home treatment only, the status showed you're safe and now it's caught some bluetooth(god only knows which, as I don't move out of the house or the compound of my locality.. where no covid positive exsist in present date) n the status shows moderate risk of infection.. it's pathetic.. waste..rather I would say it's of no use app with zero reliability."
Dr d,"November 17, 2020",Rated 5 stars out of five stars,5,9,Its based on the concept that if you have your location on all the time and others users have their location on all the time then if some user gets tested positive within a few days then the app tells you that you were in close proximity with them.
Kunal Arya Vlogs,"September 20, 2020",Rated 4 stars out of five stars,4,19,"Really good application for self assessment but there were a lag problem I'm facing since last week... Whenever I tried to self assessment then it always lags in my phone and without any self assessment it says send your self assessed data to health ministery office to inform that you are covid-19 possitive patient and at first I'm saying I haven't travelled internationally, nationally, and locally then there were not a chance that I get infected from covid-19."
Saumya Singla,"September 23, 2020",Rated 3 stars out of five stars,3,109,The app is good but Has errors. From the past 10 days it's showing we can not evaluate your risk status. I've reinstalled the app but same problem arises. Also it shows that 4 cases have been reported in my 1km area but in actual more than 10 cases have been reported in past 14 days. So the app isn't appropriate
Ganesh Sridharan,"November 11, 2020",Rated 1 stars out of five stars,1,152,"1). I installed this app may be in March or April. But after some weeks , uninstalled due to its poor performance. Again installed yesterdy to find improvements. But I could not register my mobile number. My mobile is Samsung Galaxy A30. Using Vi network. 2). Got notification today to update the version. But in Google playstore , no tab found for updating. What is going on ?"
Sanjana Roy,"November 7, 2020",Rated 5 stars out of five stars,5,13,"A brilliant app, people those who think the this app in not good even ,1% are fool. Absolutely if you are not seeing and contact near you although he is near he could only be seen if his Bluetooth and location service is enable, if you can see high risk of infection and got tested than you have to re access such fools are in india. I didn't know ! It will only warn you after being close to an infective person if the person also have the Aarogya setu app."
supreet joshi,"September 19, 2020",Rated 3 stars out of five stars,3,6,Not useful. I have taken test and my Covid test is negative. It didn't alert me when I was in proximity as per the app 10 days before. Now I have to travel back home. Just because of some bluetooth data my status is showing Moderate risk. I am doubtful I will be allowed entry at airport now.
Alpesh Shah,"September 27, 2020",Rated 1 stars out of five stars,1,3,I installed to see if there are any active covid cases in my nearby area but it doesn't show such thing. If there are cases in my area then why should app wait till I actually come in contact of person. By indicating number of cases near by 500m one would be more cautious while coming out of home nevertheless objective is everyone remains cautious and stay at home and does not panic.
Anamika Pathak,"September 28, 2020",Rated 2 stars out of five stars,2,266,"It can't help in tracking infection for a number of reasons. 1) Not everyone carries their phone with them all the time. 2) If everyone isn't registered it may not work. 3) The questionnaire is outdated and not sufficient to asses risks. Nevertheless, good initiative from the government but as all other government initiatives, it is just useless."
Pradnya Malawade,"October 18, 2020",Rated 2 stars out of five stars,2,72,"Using this App from past 6 months. The contact tracking status is showing that only one contact is nearby. This is inspite going out for any imp work. For the family member coming with me , the app data shows updated infor but not for me. No improvement even after using uninstall n reinstall option. Can the concern dept look into it and suggest the exact resolution"
Akshay Parikh,"November 23, 2020",Rated 1 stars out of five stars,1,0,"Not useful.Has graphs of how many infected, dead, recovered etc. These things are avaliable in news also. I had to install forcibly as many places they ask you to show the app icon before entry."
Satya_narayana P,"December 2, 2020",Rated 1 stars out of five stars,1,24,"Arogya setu app doesn't work correctly with some mobiles/ numbers. 1) I came in contact with covid19 positive few times in office but the app has not shown any risk ever. Always showed as safe and green colour. 2) on 24.11.2020 myself tested covid19 positive by Delhi health care department. Further, I had submitted about tested positive in my mobile app, even then the app shows to me as safe and green. Even My contacts did not get their status risk on my positive test. - Satyanarayana, Delhi."
SPIPL-Alok Kumar Mukherjee,"September 22, 2020",Rated 1 stars out of five stars,1,5,Useless app. Hardly any one keeps their mobile bluetooh always on. I am right now infected positive and already under medical treatment but it does not tell. This is worst development i ever found. It should be automatically linked with practical gps and mobile number not dependant on blutooth and manual update from each person.
Avinash Sagar,"September 22, 2020",Rated 1 stars out of five stars,1,2,It is not installing properly. Several times downloaded but worked none of the times. It should have been designed in such a way that even a lay man can access it entirely. I hope that my note pointed out will be taken seriously.
rupa reddy,"September 26, 2020",Rated 1 stars out of five stars,1,2,"I have been trying to install the app since more than 24 hrs, but it just keeps saying that ""app can't be stopped"" It baffles me that this is happening with an app that is considered essential for travel at times like this! Please fix the bug immediately 🙏"
SHARAD JOSHI,"September 27, 2020",Rated 1 stars out of five stars,1,20,"Waste of time. Everytime at the time of registration, it sends OTP but says login failed try again. Tried at least 30/40 times but couldn't enter into it. It is working exactly as Government employee. Rating is must before writing review, hence have to give 1 star. Otherwise it is eligible for 0 or negative rating."
VIRAJ MEHTA,"November 29, 2020",Rated 1 stars out of five stars,1,2,I never got any alerts from this application even though I had covid affected neighbours. The worst thing is that I got COVID-19 infection and the application shows that Im safe. I guess this application is just for data collection and there is no other motive of this application.
Vishal Verma,"November 24, 2020",Rated 3 stars out of five stars,3,1,"Authentication of this is in doubt, how many persons rigorously using this app and keeping it updated, many a times I've been in contact of many persons but it always shown fewer people in my radar. Also the person becoming positive not shown in this app at times."
karthik ramamurthy,"October 23, 2020",Rated 4 stars out of five stars,4,63,"A very useful app, but from 1 full month it has never asked me to upload data onto the server, I made it a point to open the app and check status of recent contacts atleast once a day. Today it says 63 contacts' status is unknown, strange to see no contacts with Covid +ve patients when my city shows >1000 cases everyday."
Shova Das,"November 29, 2020",Rated 3 stars out of five stars,3,1,"District wise statistics should be maintained. Test centers and Treatment centers must be provided district wise, it is difficult to search through the whole state."
Akash Singh,"December 12, 2020",Rated 5 stars out of five stars,5,56,Veey good experience. But people are not aware that it does not automatically show if there's any +ve person nearby you or not unless the same person should need to fillup the required details with true fact eg. if someone has came in contact with any of the COVID patients then he/she must have to admit else the information will be wrong and it'll never indicate to others. Thank you.
Ananya Kesharwani,"November 30, 2020",Rated 5 stars out of five stars,5,15,"Very good app. Allows you to see your recent contacts with other ppl and even shows their status, whether they are at high, low risk,etc. It is a really helpful app."
Badhshah Badhshah,"October 11, 2020",Rated 3 stars out of five stars,3,2,"The email provided is not responsive, i had emailed them, but no response regarding the duration of RED to GREEN, no reply back, its just a way to trouble people already troubled by the virus, no time limit for RED mental torture at the height by Government for their greedy counts, useless application, government atrocities to trouble people.... JUST AFTER POSTING MY REVIEW, AUTOMATICALLY IT TURNED INTO GREEN, SO UPDATED MY STAR RATING TO THREE, THANK YOU"
Ravi D,"September 28, 2020",Rated 1 stars out of five stars,1,377,"Not at all useful. My house surrounded by 42 cases approximately with in a km...But its showing 1 case only 2 km range. Why government done it mandate I don't know. Overall useless app according to me. I am working for a pharma company especially working in covid state government hospitals , Bluetooth on.... but still showing only one person around me data. I think lot of important is needed to believe this app. My company made it compulsory otherwise I am not at all interested to use..."
Aravelly Sheshu,"December 1, 2020",Rated 1 stars out of five stars,1,3,"Worst maintanance, No record is maintained if one tested and confirmed as covid positive with using same mobile in both for testing and login with same mobile number. It would be useful if it is integrated with covid testing data."
prem sai,"September 21, 2020",Rated 1 stars out of five stars,1,234,"Worst app and worst updates Staying Home also it is showing u r contacted with Infected Person. Don't use this app. It will be different from one phone to another phone even though we placed it side by side at a time. For example: in my phone the recent contacts will shown as 2 to 5, but in another phone it will show 50 to 60+. Even though we are in home also."
naina khan,"October 8, 2020",Rated 1 stars out of five stars,1,8,"This is such a horrendous app, I installed it in iOS not received the OTP installed in android phone not receive any OTP. If the app can not deliver the 100 percent to their users that means it's useless totally useless. I m continually trying to register my self in thi app because I have to travel from Dubai to India but nothing happing in this unserviceable app."
Billinda Dorathy,"October 10, 2020",Rated 1 stars out of five stars,1,1,"Unable to register. I have a flight this Sunday and I still couldn't register it.. Its unbelievable, how an app of this importance could be so very impotent. Tried on 4 different phones and none worked."
Jasveer World,"September 30, 2020",Rated 5 stars out of five stars,5,7,"Hey! Aarogya setu team I have ab idea for a feature that you can add to this app. As recently we see that a 19 year old girl was rapped and no action is taken against that. So, you can add an alert button to your app that a girl can use when she feels unsafe. When the girl click that button an alert message will be send to the other user of this app which are in range of 1Km that ""this user is unsafe"" and also the live location of the girl"
digi4 t3ch,"December 12, 2020",Rated 1 stars out of five stars,1,0,Aarogya setu app is a 100 % fake app. Because it's never shown an correct active covid-19 case. Even my neighborhood have a positive case near my location there is a 9 active case. But in aarogya setu app even in 10km radius. It's shown that you are safe. There is no positive covid-19 near you. Solve bugs asap.
